gene_cluster_id	Pangenome	Environment	Enviro_Specific
GC_00000551	Core	NA	NA
GC_00000552	Core	NA	NA
GC_00000553	Core	NA	NA
GC_00000554	Core	NA	NA
GC_00000555	Core	NA	NA
GC_00000556	Core	NA	NA
GC_00000557	Core	NA	NA
GC_00000558	Core	NA	NA
GC_00000559	Core	NA	NA
GC_00000560	Core	NA	NA
GC_00000561	Core	NA	NA
GC_00000562	Core	NA	NA
GC_00000563	Core	NA	NA
GC_00000564	Core	NA	NA
GC_00000565	Core	NA	NA
GC_00000566	Core	NA	NA
GC_00000567	Core	NA	NA
GC_00000568	Core	NA	NA
GC_00000569	Core	NA	NA
GC_00000570	Core	NA	NA
GC_00000571	Core	NA	NA
GC_00000572	Core	NA	NA
GC_00000573	Core	NA	NA
GC_00000574	Core	NA	NA
GC_00000575	Core	NA	NA
GC_00000576	Core	NA	NA
GC_00000577	Core	NA	NA
GC_00000578	Core	NA	NA
GC_00000579	Core	NA	NA
GC_00000580	Core	NA	NA
GC_00000581	Core	NA	NA
GC_00000582	Core	NA	NA
GC_00000583	Core	NA	NA
GC_00000584	Core	NA	NA
GC_00000585	Core	NA	NA
GC_00000587	Core	NA	NA
GC_00000588	Core	NA	NA
GC_00000589	Core	NA	NA
GC_00000590	Core	NA	NA
GC_00000591	Core	NA	NA
GC_00000592	Core	NA	NA
GC_00000593	Core	NA	NA
GC_00000594	Core	NA	NA
GC_00000595	Core	NA	NA
GC_00000596	Core	NA	NA
GC_00000597	Core	NA	NA
GC_00000598	Core	NA	NA
GC_00000599	Core	NA	NA
GC_00000600	Core	NA	NA
GC_00000601	Core	NA	NA
GC_00000602	Core	NA	NA
GC_00000603	Core	NA	NA
GC_00000604	Core	NA	NA
GC_00000605	Core	NA	NA
GC_00000606	Core	NA	NA
GC_00000607	Core	NA	NA
GC_00000608	Core	NA	NA
GC_00000609	Core	NA	NA
GC_00000610	Core	NA	NA
GC_00000611	Core	NA	NA
GC_00000612	Core	NA	NA
GC_00000613	Core	NA	NA
GC_00000614	Core	NA	NA
GC_00000615	Core	NA	NA
GC_00000616	Core	NA	NA
GC_00000617	Core	NA	NA
GC_00000618	Core	NA	NA
GC_00000619	Core	NA	NA
GC_00000620	Core	NA	NA
GC_00000621	Core	NA	NA
GC_00000622	Core	NA	NA
GC_00000623	Core	NA	NA
GC_00000624	Core	NA	NA
GC_00000625	Core	NA	NA
GC_00000626	Core	NA	NA
GC_00000627	Core	NA	NA
GC_00000628	Core	NA	NA
GC_00000629	Core	NA	NA
GC_00000630	Core	NA	NA
GC_00000631	Core	NA	NA
GC_00000632	Core	NA	NA
GC_00000633	Core	NA	NA
GC_00000634	Core	NA	NA
GC_00000635	Core	NA	NA
GC_00000636	Core	NA	NA
GC_00000637	Core	NA	NA
GC_00000638	Core	NA	NA
GC_00000639	Core	NA	NA
GC_00000640	Core	NA	NA
GC_00000641	Core	NA	NA
GC_00000642	Core	NA	NA
GC_00000643	Core	NA	NA
GC_00000644	Core	NA	NA
GC_00000645	Core	NA	NA
GC_00000646	Core	NA	NA
GC_00000647	Core	NA	NA
GC_00000648	Core	NA	NA
GC_00000649	Core	NA	NA
GC_00000650	Core	NA	NA
GC_00000651	Core	NA	NA
GC_00000652	Core	NA	NA
GC_00000653	Core	NA	NA
GC_00000654	Core	NA	NA
GC_00000655	Core	NA	NA
GC_00000656	Core	NA	NA
GC_00000657	Core	NA	NA
GC_00000658	Core	NA	NA
GC_00000659	Core	NA	NA
GC_00000660	Core	NA	NA
GC_00000661	Core	NA	NA
GC_00000662	Core	NA	NA
GC_00000663	Core	NA	NA
GC_00000664	Core	NA	NA
GC_00000665	Core	NA	NA
GC_00000666	Core	NA	NA
GC_00000667	Core	NA	NA
GC_00000668	Core	NA	NA
GC_00000669	Core	NA	NA
GC_00000670	Core	NA	NA
GC_00000671	Core	NA	NA
GC_00000672	Core	NA	NA
GC_00000673	Core	NA	NA
GC_00000674	Core	NA	NA
GC_00000675	Core	NA	NA
GC_00000676	Core	NA	NA
GC_00000677	Core	NA	NA
GC_00000678	Core	NA	NA
GC_00000679	Core	NA	NA
GC_00000680	Core	NA	NA
GC_00000681	Core	NA	NA
GC_00000682	Core	NA	NA
GC_00000683	Core	NA	NA
GC_00000685	Core	NA	NA
GC_00000686	Core	NA	NA
GC_00000687	Core	NA	NA
GC_00000688	Core	NA	NA
GC_00000690	Core	NA	NA
GC_00000691	Core	NA	NA
GC_00000692	Core	NA	NA
GC_00000693	Core	NA	NA
GC_00000694	Core	NA	NA
GC_00000695	Core	NA	NA
GC_00000696	Core	NA	NA
GC_00000697	Core	NA	NA
GC_00000698	Core	NA	NA
GC_00000699	Core	NA	NA
GC_00000700	Core	NA	NA
GC_00000701	Core	NA	NA
GC_00000702	Core	NA	NA
GC_00000703	Core	NA	NA
GC_00000704	Core	NA	NA
GC_00000705	Core	NA	NA
GC_00000706	Core	NA	NA
GC_00000707	Core	NA	NA
GC_00000708	Core	NA	NA
GC_00000709	Core	NA	NA
GC_00000710	Core	NA	NA
GC_00000711	Core	NA	NA
GC_00000712	Core	NA	NA
GC_00000713	Core	NA	NA
GC_00000714	Core	NA	NA
GC_00000715	Core	NA	NA
GC_00000716	Core	NA	NA
GC_00000717	Core	NA	NA
GC_00000718	Core	NA	NA
GC_00000719	Core	NA	NA
GC_00000720	Core	NA	NA
GC_00000721	Core	NA	NA
GC_00000722	Core	NA	NA
GC_00000723	Core	NA	NA
GC_00000724	Core	NA	NA
GC_00000725	Core	NA	NA
GC_00000726	Core	NA	NA
GC_00000727	Core	NA	NA
GC_00000728	Core	NA	NA
GC_00000729	Core	NA	NA
GC_00000730	Core	NA	NA
GC_00000731	Core	NA	NA
GC_00000732	Core	NA	NA
GC_00000733	Core	NA	NA
GC_00000734	Core	NA	NA
GC_00000735	Core	NA	NA
GC_00000736	Core	NA	NA
GC_00000737	Core	NA	NA
GC_00000738	Core	NA	NA
GC_00000739	Core	NA	NA
GC_00000740	Core	NA	NA
GC_00000741	Core	NA	NA
GC_00000742	Core	NA	NA
GC_00000744	Core	NA	NA
GC_00000745	Core	NA	NA
GC_00000746	Core	NA	NA
GC_00000747	Core	NA	NA
GC_00000748	Core	NA	NA
GC_00000749	Core	NA	NA
GC_00000750	Core	NA	NA
GC_00000751	Core	NA	NA
GC_00000752	Core	NA	NA
GC_00000753	Core	NA	NA
GC_00000754	Core	NA	NA
GC_00000755	Core	NA	NA
GC_00000756	Core	NA	NA
GC_00000757	Core	NA	NA
GC_00000758	Core	NA	NA
GC_00000759	Core	NA	NA
GC_00000760	Core	NA	NA
GC_00000761	Core	NA	NA
GC_00000762	Core	NA	NA
GC_00000763	Core	NA	NA
GC_00000764	Core	NA	NA
GC_00000765	Core	NA	NA
