Func_Cluster_id	Pangenome	Environment	Enviro_specific
func_f08364dcd55a	Core_Pelagibacteraceae	NA	NA
func_d06e74fd7913	Core_Pelagibacteraceae	NA	NA
func_3736d375bbc7	Core_Pelagibacteraceae	NA	NA
func_607e204d7795	Core_Pelagibacteraceae	NA	NA
func_12851aed98cd	Core_Pelagibacteraceae	NA	NA
func_fbc0a5a448c7	Core_Pelagibacteraceae	NA	NA
func_1a5ad7411be7	Core_Pelagibacteraceae	NA	NA
func_a93207624cec	Core_Pelagibacteraceae	NA	NA
func_3b19c0162dea	Core_Pelagibacteraceae	NA	NA
func_ff7399df9aa9	Core_Pelagibacteraceae	NA	NA
func_09df92290c70	Core_Pelagibacteraceae	NA	NA
func_89024a096c1e	Core_Pelagibacteraceae	NA	NA
func_fd8588763aa6	Core_Pelagibacteraceae	NA	NA
func_22f629588540	Core_Pelagibacteraceae	NA	NA
func_7ada81b01226	Core_Pelagibacteraceae	NA	NA
func_096168127709	Core_Pelagibacteraceae	NA	NA
func_0041f6cf44e5	Core_Pelagibacteraceae	NA	NA
func_add6855ebd25	Core_Pelagibacteraceae	NA	NA
func_af2d63cb4a4a	Core_Pelagibacteraceae	NA	NA
func_27117ff3827a	Core_Pelagibacteraceae	NA	NA
func_e15756e6964a	Core_Pelagibacteraceae	NA	NA
func_f349f0365a2f	Core_Pelagibacteraceae	NA	NA
func_0d59b4f83017	Core_Pelagibacteraceae	NA	NA
func_ba785bee05a7	Core_Pelagibacteraceae	NA	NA
func_18aacc1213f8	Core_Pelagibacteraceae	NA	NA
func_bb6d959062b8	Core_Pelagibacteraceae	NA	NA
func_04fd06e47f89	Core_Pelagibacteraceae	NA	NA
func_392a1c535667	Core_Pelagibacteraceae	NA	NA
func_3edb2f502973	Core_Pelagibacteraceae	NA	NA
func_a42805f5d8cd	Core_Pelagibacteraceae	NA	NA
func_2455f536266e	Core_Pelagibacteraceae	NA	NA
func_86cc9c510d08	Core_Pelagibacteraceae	NA	NA
func_18df076dee85	Core_Pelagibacteraceae	NA	NA
func_f5f082f6b1f6	Core_Pelagibacteraceae	NA	NA
func_e9829814eee8	Core_Pelagibacteraceae	NA	NA
func_5319d6ef428e	Core_Pelagibacteraceae	NA	NA
func_4a3be8b19c1d	Core_Pelagibacteraceae	NA	NA
func_c404ed30f23f	Core_Pelagibacteraceae	NA	NA
func_8873bb6a3cc9	Core_Pelagibacteraceae	NA	NA
func_ae5332d284a2	Core_Pelagibacteraceae	NA	NA
func_5081a7c0a0f3	Core_Pelagibacteraceae	NA	NA
func_26313bf79388	Core_Pelagibacteraceae	NA	NA
func_1cc503479161	Core_Pelagibacteraceae	NA	NA
func_53ed4b6c9797	Core_Pelagibacteraceae	NA	NA
func_6f2e9a37b9ef	Core_Pelagibacteraceae	NA	NA
func_81464e8341b9	Core_Pelagibacteraceae	NA	NA
func_c45284cd4293	Core_Pelagibacteraceae	NA	NA
func_df31f7d42d3e	Core_Pelagibacteraceae	NA	NA
func_7a7d0e9c1fdc	Core_Pelagibacteraceae	NA	NA
func_0c7e65725132	Core_Pelagibacteraceae	NA	NA
func_6878513be8df	Core_Pelagibacteraceae	NA	NA
func_b538a065df46	Core_Pelagibacteraceae	NA	NA
func_de9e02626dea	Core_Pelagibacteraceae	NA	NA
func_0c594d52e0a4	Core_Pelagibacteraceae	NA	NA
func_0a29b270d206	Core_Pelagibacteraceae	NA	NA
func_d5c4d8aa26f8	Core_Pelagibacteraceae	NA	NA
func_271b8742bdce	Core_Pelagibacteraceae	NA	NA
func_658edea470ba	Core_Pelagibacteraceae	NA	NA
func_3a9df08882a0	Core_Pelagibacteraceae	NA	NA
func_d401a9be1be3	Core_Pelagibacteraceae	NA	NA
func_bc459c7e95e3	Core_Pelagibacteraceae	NA	NA
func_ae3fa0b49a9b	Core_Pelagibacteraceae	NA	NA
func_fde18dcdf0e9	Core_Pelagibacteraceae	NA	NA
func_8f1842cde120	Core_Pelagibacteraceae	NA	NA
func_20b1983087c4	Core_Pelagibacteraceae	NA	NA
func_9473e4d08a42	Core_Pelagibacteraceae	NA	NA
func_3bbf3573b559	Core_Pelagibacteraceae	NA	NA
func_dbeade9a7846	Core_Pelagibacteraceae	NA	NA
func_5144a66fe6f7	Core_Pelagibacteraceae	NA	NA
func_d809db69a682	Core_Pelagibacteraceae	NA	NA
func_b9f409e8e9b2	Core_Pelagibacteraceae	NA	NA
func_ae29c8b45c57	Core_Pelagibacteraceae	NA	NA
func_71f1e9c0c2fb	Core_Pelagibacteraceae	NA	NA
func_45234a5ea0ae	Core_Pelagibacteraceae	NA	NA
func_eed515f21108	Core_Pelagibacteraceae	NA	NA
func_9103e40e3e5f	Core_Pelagibacteraceae	NA	NA
func_c2af09e67171	Core_Pelagibacteraceae	NA	NA
func_ae13af9a555e	Core_Pelagibacteraceae	NA	NA
func_38f7e0ae8629	Core_Pelagibacteraceae	NA	NA
func_7fffe28e232e	Core_Pelagibacteraceae	NA	NA
func_750b83e87066	Core_Pelagibacteraceae	NA	NA
func_c19155593952	Core_Pelagibacteraceae	NA	NA
func_334553444776	Core_Pelagibacteraceae	NA	NA
func_418dc071fe47	Core_Pelagibacteraceae	NA	NA
func_06ea8063af44	Core_Pelagibacteraceae	NA	NA
func_3fe4c1570ac3	Core_Pelagibacteraceae	NA	NA
func_f7734e17aa6d	Core_Pelagibacteraceae	NA	NA
func_370c5811851f	Core_Pelagibacteraceae	NA	NA
func_643b87d134af	Core_Pelagibacteraceae	NA	NA
func_f05de64a0bc9	Core_Pelagibacteraceae	NA	NA
func_fd828d5970f5	Core_Pelagibacteraceae	NA	NA
func_d3950fa4317f	Core_Pelagibacteraceae	NA	NA
func_56d5f11a7584	Core_Pelagibacteraceae	NA	NA
func_4133408a719a	Core_Pelagibacteraceae	NA	NA
func_df99f75152c5	Core_Pelagibacteraceae	NA	NA
func_f5ce00ca50b3	Core_Pelagibacteraceae	NA	NA
func_0ce79f2d1be1	Core_Pelagibacteraceae	NA	NA
func_8f38fa96d2ce	Core_Pelagibacteraceae	NA	NA
func_d5a137a40927	Core_Pelagibacteraceae	NA	NA
func_baf5f626812a	Core_Pelagibacteraceae	NA	NA
func_ea2d4d9aea4d	Core_Pelagibacteraceae	NA	NA
func_4da0c07d4eee	Core_Pelagibacteraceae	NA	NA
func_c0726f5905db	Core_Pelagibacteraceae	NA	NA
func_8289b7208c78	Core_Pelagibacteraceae	NA	NA
func_5bcaed18fcf2	Core_Pelagibacteraceae	NA	NA
func_b714ead27c9a	Core_Pelagibacteraceae	NA	NA
func_5f7352d905d4	Core_Pelagibacteraceae	NA	NA
func_0eac614bee90	Core_Pelagibacteraceae	NA	NA
func_f1731a2de3b7	Core_Pelagibacteraceae	NA	NA
func_fc7337a77496	Core_Pelagibacteraceae	NA	NA
func_970a05e9e3b1	Core_Pelagibacteraceae	NA	NA
func_bdbf9855c75e	Core_Pelagibacteraceae	NA	NA
func_c5262b4bc02b	Core_Pelagibacteraceae	NA	NA
func_79e577f801db	Core_Pelagibacteraceae	NA	NA
func_99a21f16e36e	Core_Pelagibacteraceae	NA	NA
func_c98c2689f80c	Core_Pelagibacteraceae	NA	NA
func_5c88dfea7460	Core_Pelagibacteraceae	NA	NA
func_43f6fae57966	Core_Pelagibacteraceae	NA	NA
func_ded662f9377f	Core_Pelagibacteraceae	NA	NA
func_6626090b5bbb	Core_Pelagibacteraceae	NA	NA
func_65a3e4b357a7	Core_Pelagibacteraceae	NA	NA
func_4d67087290fc	Core_Pelagibacteraceae	NA	NA
func_c36cb496dff7	Core_Pelagibacteraceae	NA	NA
func_c2bda90cefc4	Core_Pelagibacteraceae	NA	NA
func_c22624f8a094	Core_Pelagibacteraceae	NA	NA
func_5db2598cb2e0	Core_Pelagibacteraceae	NA	NA
func_c682b90fb7b6	Core_Pelagibacteraceae	NA	NA
func_70cb34fe5ea5	Core_Pelagibacteraceae	NA	NA
func_8cd0b01c028c	Core_Pelagibacteraceae	NA	NA
func_78c98bf041fd	Core_Pelagibacteraceae	NA	NA
func_d02b33da5deb	Core_Pelagibacteraceae	NA	NA
func_227060cdebd0	Core_Pelagibacteraceae	NA	NA
func_f6e1de39def7	Core_Pelagibacteraceae	NA	NA
func_3e04a1359750	Core_Pelagibacteraceae	NA	NA
